TargetID	ProbeID	4042961002_A.AVG_Signal	4042961002_A.Detection Pval	4042961002_A.BEAD_STDERR	4042961002_A.Avg_NBEADS	4042961002_B.AVG_Signal	4042961002_B.Detection Pval	4042961002_B.BEAD_STDERR	4042961002_B.Avg_NBEADS	4042961002_C.AVG_Signal	4042961002_C.Detection Pval	4042961002_C.BEAD_STDERR	4042961002_C.Avg_NBEADS	4042961002_D.AVG_Signal	4042961002_D.Detection Pval	4042961002_D.BEAD_STDERR	4042961002_D.Avg_NBEADS	4042961002_E.AVG_Signal	4042961002_E.Detection Pval	4042961002_E.BEAD_STDERR	4042961002_E.Avg_NBEADS	4042961002_F.AVG_Signal	4042961002_F.Detection Pval	4042961002_F.BEAD_STDERR	4042961002_F.Avg_NBEADS	4042961002_G.AVG_Signal	4042961002_G.Detection Pval	4042961002_G.BEAD_STDERR	4042961002_G.Avg_NBEADS	4042961002_H.AVG_Signal	4042961002_H.Detection Pval	4042961002_H.BEAD_STDERR	4042961002_H.Avg_NBEADS	4042961011_A.AVG_Signal	4042961011_A.Detection Pval	4042961011_A.BEAD_STDERR	4042961011_A.Avg_NBEADS	4042961011_B.AVG_Signal	4042961011_B.Detection Pval	4042961011_B.BEAD_STDERR	4042961011_B.Avg_NBEADS	4042961011_C.AVG_Signal	4042961011_C.Detection Pval	4042961011_C.BEAD_STDERR	4042961011_C.Avg_NBEADS	4042961011_D.AVG_Signal	4042961011_D.Detection Pval	4042961011_D.BEAD_STDERR	4042961011_D.Avg_NBEADS	4042961011_E.AVG_Signal	4042961011_E.Detection Pval	4042961011_E.BEAD_STDERR	4042961011_E.Avg_NBEADS	4042961011_F.AVG_Signal	4042961011_F.Detection Pval	4042961011_F.BEAD_STDERR	4042961011_F.Avg_NBEADS	4042961011_G.AVG_Signal	4042961011_G.Detection Pval	4042961011_G.BEAD_STDERR	4042961011_G.Avg_NBEADS	4042961011_H.AVG_Signal	4042961011_H.Detection Pval	4042961011_H.BEAD_STDERR	4042961011_H.Avg_NBEADS	4042961012_A.AVG_Signal	4042961012_A.Detection Pval	4042961012_A.BEAD_STDERR	4042961012_A.Avg_NBEADS	4042961012_B.AVG_Signal	4042961012_B.Detection Pval	4042961012_B.BEAD_STDERR	4042961012_B.Avg_NBEADS	4042961012_C.AVG_Signal	4042961012_C.Detection Pval	4042961012_C.BEAD_STDERR	4042961012_C.Avg_NBEADS	4042961012_D.AVG_Signal	4042961012_D.Detection Pval	4042961012_D.BEAD_STDERR	4042961012_D.Avg_NBEADS	4042961012_E.AVG_Signal	4042961012_E.Detection Pval	4042961012_E.BEAD_STDERR	4042961012_E.Avg_NBEADS	4042961012_F.AVG_Signal	4042961012_F.Detection Pval	4042961012_F.BEAD_STDERR	4042961012_F.Avg_NBEADS	4042961012_G.AVG_Signal	4042961012_G.Detection Pval	4042961012_G.BEAD_STDERR	4042961012_G.Avg_NBEADS	4042961012_H.AVG_Signal	4042961012_H.Detection Pval	4042961012_H.BEAD_STDERR	4042961012_H.Avg_NBEADS
BIOTIN	3940609	4070.778	0	85.73251	146	4341.595	0	78.67811	149	4427.011	0	96.34931	128	3685.171	0	83.23204	117	4350.894	0	83.45025	138	3830.336	0	71.89186	128	4542.894	0	71.6953	154	4141.835	0	78.65382	120	4438.058	0	83.62202	147	4329.332	0	92.18012	129	4391.785	0	108.3353	121	4181.047	0	87.78647	140	4129.722	0	76.36874	138	3599.081	0	78.51506	136	4306.681	0	81.98149	126	3987.485	0	79.33909	133	5353.584	0	110.2993	159	4931.569	0	93.63681	143	4937.949	0	102.3811	108	4816.398	0	91.7127	125	4810.949	0	93.74883	133	4474.914	0	82.5178	138	5033.943	0	109.2894	132	4490.386	0	96.57627	131
CY3_HYB	1010475	50945.38	0	1402.811	98	49858.54	0	1003.734	143	52526.23	0	1101.243	127	46292.37	0	911.5005	131	52532.97	0	936.7128	140	47422.62	0	852.1194	123	55744.27	0	1046.799	116	50956.69	0	890.3837	120	53889.15	0	1197.019	105	52030.4	0	970.6454	121	56339.24	0	1196.022	113	51712.58	0	1095.103	130	52328.32	0	980.4535	138	44329.17	0	979.455	123	52076.15	0	1192.981	119	48251.54	0	984.7905	126	57800.5	0	1056.785	136	54196.43	0	1174.022	124	54133.2	0	1125.876	130	53108.57	0	1037.484	121	56955.89	0	1078.118	124	52137.45	0	1136.404	124	55888.45	0	1116.462	124	55120.27	0	1019.57	110
CY3_HYB	2260059	845.6848	0	22.81771	141	926.0386	0	22.10114	135	987.3245	0	25.47695	121	834.6798	0	18.26682	126	1053.516	0	27.68583	118	884.2189	0	18.97763	142	1168.675	0	29.08673	146	998.6617	0	22.3386	123	1132.371	0	26.8204	133	935.6666	0	20.08721	153	1008.574	0	26.29308	138	919.4279	0	22.24377	128	1094.387	0	29.21721	141	830.91	0	21.78717	127	1074.377	0	25.78202	153	990.4715	0	21.99606	136	1241.772	0	31.56328	132	1108.318	0	28.99892	126	1045.958	0	24.15141	137	1173.423	0	31.3263	128	1125.047	0	26.3572	126	1001.275	0	22.89475	142	1227.951	0	34.01794	118	1135.849	0	20.35896	145
CY3_HYB	2320133	13109.56	0	304.1983	124	13897.15	0	336.1409	138	14951.52	0	396.5105	112	12538.38	0	212.432	145	16508.85	0	378.5169	116	13363.61	0	310.4534	126	15762.64	0	384.3226	126	14921.98	0	320.3468	112	15424.03	0	513.3002	109	14530.8	0	279.2845	156	15099.6	0	376.6734	129	14021.54	0	324.0583	141	14494.08	0	391.0128	131	11415.34	0	276.3463	140	15611.13	0	384.0062	132	14644.84	0	328.2384	134	16733.4	0	462.5302	147	15976.17	0	373.9438	134	15803.89	0	382.0616	128	15781.37	0	377.3306	143	16450.16	0	394.949	143	14711.81	0	381.7746	112	16877.02	0	407.315	146	16131.54	0	376.1614	123
CY3_HYB	3460301	728.235	0	16.96449	140	728.6943	0	20.4016	125	812.9313	0	20.58801	109	681.5718	0	19.21761	108	922.35	0	25.39702	120	794.871	0	19.40758	134	905.6595	0	26.94737	129	884.4434	0	25.78406	95	954.8997	0	25.03483	151	781.8083	0	21.90153	118	916.0022	0	25.84964	136	885.1069	0	24.63568	125	924.4484	0	28.34008	117	704.1752	0	17.4219	150	988.2311	0	29.46076	122	883.7035	0	18.79091	139	1101.951	0	31.57104	156	978.166	0	21.90572	136	997.347	0	26.4634	136	944.2006	0	21.71479	143	1019.877	0	26.08006	141	906.0841	0	20.54671	152	1087.836	0	35.27748	122	1080.929	0	22.91454	155
HIGH_STRINGENCY_HYB	3390114	48087.98	0	1477.1	24	49693.39	0	2040.77	33	51742.75	0	2029.257	33	46065.57	0	1412.311	40	58639.72	0	2059.697	32	46101.72	0	1353.828	44	53903.12	0	1734.081	33	48599.58	0	1476.526	35	50915.75	0	1897.561	46	47610.24	0	1731.577	37	52598.85	0	1806.079	49	49271.7	0	1921.058	44	50725.18	0	1885.931	38	40777.96	0	1362.17	50	49219.18	0	2181.223	37	48870.9	0	1885.105	29	51442.54	0	1689.622	49	51667.43	0	1461.649	60	52768.93	0	1686.471	50	46395.64	0	1670.3	37	53909.81	0	1789.99	51	49011.13	0	1819.132	38	54529.05	0	1807.082	40	50700.75	0	1362.841	44
HOUSEKEEPING	130424	14049.63	0	450.034	49	14792.29	0	580.3396	36	16731.39	0	640.1204	34	10794.38	0	329.277	48	16122.34	0	546.7155	50	17513.21	0	464.7915	38	14907.1	0	509.7321	43	18486.76	0	461.0536	38	10830.48	0	374.6862	43	9573.771	0	455.4968	34	21411.09	0	691.2464	51	16497.75	0	712.7847	40	16207.19	0	587.988	37	15337.73	0	530.5632	48	20830.32	0	741.763	43	19713.43	0	610.4747	42	21504.66	0	850.7903	46	18309.15	0	497.2562	54	14866.49	0	505.79	45	16304.75	0	620.3214	51	16906.85	0	537.6099	35	15272.15	0	502.9447	39	17213.62	0	503.2445	58	17978.43	0	564.9691	48
HOUSEKEEPING	1070519	25908.22	0	515.0998	116	26697.43	0	579.4419	134	28490.17	0	612.2342	121	20548.87	0	343.2678	133	29471.98	0	590.3382	133	26811.2	0	477.9011	133	31306.64	0	534.116	120	29838.31	0	490.1104	124	28419.56	0	522.3378	123	24779.13	0	452.5929	114	30744.88	0	678.6777	131	25430.96	0	590.5439	139	25084.23	0	493.2624	144	22595.15	0	478.1351	123	24239.84	0	492.4506	133	24988.54	0	457.1002	123	29869.99	0	670.7593	131	28058.81	0	603.865	121	29970.19	0	576.5244	127	31129.57	0	664.025	113	26859.59	0	501.518	137	24049.94	0	504.254	125	31246.96	0	604.3469	143	30206.9	0	505.1977	137
HOUSEKEEPING	2690379	28080.09	0	555.0184	126	28862.23	0	491.4742	150	29893.83	0	509.1872	148	23464.3	0	366.4663	133	32987.93	0	578.2785	147	28012.87	0	445.8586	119	32881.14	0	482.1004	124	32012.34	0	392.7986	145	30860.45	0	538.8685	156	25884.96	0	540.1724	117	32077.19	0	726.2168	135	27723.99	0	595.7661	129	29277.22	0	572.0749	137	25882.46	0	541.4954	132	28135.13	0	577.0889	140	27642.28	0	464.9359	140	35722.89	0	708.6927	134	30141.64	0	527.0593	148	34098.77	0	677.4752	150	32666.31	0	662.6397	127	29220	0	579.3295	145	25992.86	0	438.0113	140	34991.76	0	597.7853	130	32559.72	0	532.1614	130
HOUSEKEEPING	4260048	13677.91	0	365.9038	133	11385.84	0	225.8606	136	12843.92	0	263.3366	124	8241.397	0	164.2363	130	14703.07	0	337.8383	137	13092.21	0	274.4942	122	14607.89	0	246.7887	142	16806.97	0	262.7294	150	14369.73	0	292.1055	130	12727.25	0	283.5503	112	13760.32	0	383.0669	116	10949.18	0	268.2397	119	15213.71	0	319.7356	146	15148.66	0	334.1469	145	13374.71	0	293.7752	151	14786.97	0	276.9928	137	20278.31	0	494.5901	132	16823.52	0	370.2038	134	15285.27	0	326.4103	114	16834.07	0	342.674	147	11911.35	0	227.0411	136	10661.35	0	231.1784	133	15772.86	0	337.5998	128	16148.93	0	308.0607	136
